index	Gp
783	-7.9653
784	-7.9097
785	-7.8545
786	-7.7997
787	-7.7452
788	-7.6912
789	-7.6375
790	-7.5842
791	-7.5313
792	-7.4787
793	-7.4265
794	-7.3747
795	-7.3232
796	-7.2721
797	-7.2213
798	-7.1709
799	-7.1209
800	-7.0712
801	-7.0218
802	-6.9728
803	-6.9242
804	-6.8758
805	-6.8279
806	-6.7802
807	-6.7329
808	-6.6859
809	-6.6392
810	-6.5929
811	-6.5469
812	-6.5012
813	-6.4558
814	-6.4108
815	-6.3660
816	-6.3216
817	-6.2775
818	-6.2337
819	-6.1902
820	-6.1470
821	-6.1041
822	-6.0615
823	-6.0192
824	-5.9771
825	-5.9354
826	-5.8940
827	-5.8529
828	-5.8120
829	-5.7715
830	-5.7312
831	-5.6912
832	-5.6515
833	-5.6120
834	-5.5729
835	-5.5340
836	-5.4953
837	-5.4570
838	-5.4189
839	-5.3811
840	-5.3435
841	-5.3062
842	-5.2692
843	-5.2324
844	-5.1959
845	-5.1596
846	-5.1236
847	-5.0879
848	-5.0524
849	-5.0171
850	-4.9821
851	-4.9473
852	-4.9128
853	-4.8785
854	-4.8445
855	-4.8107
856	-4.7771
857	-4.7437
858	-4.7106
859	-4.6778
860	-4.6451
861	-4.6127
862	-4.5805
863	-4.5485
864	-4.5168
865	-4.4853
866	-4.4540
867	-4.4229
868	-4.3920
869	-4.3614
870	-4.3309
871	-4.3007
872	-4.2707
873	-4.2409
874	-4.2113
875	-4.1819
876	-4.1527
877	-4.1237
878	-4.0949
879	-4.0664
880	-4.0380
881	-4.0098
882	-3.9818
883	-3.9540
884	-3.9264
885	-3.8990
886	-3.8718
887	-3.8448
888	-3.8180
889	-3.7913
890	-3.7648
891	-3.7386
892	-3.7125
893	-3.6866
894	-3.6608
895	-3.6353
896	-3.6099
897	-3.5847
898	-3.5597
899	-3.5349
900	-3.5102
901	-3.4857
902	-3.4614
903	-3.4372
904	-3.4132
905	-3.3894
906	-3.3657
907	-3.3423
908	-3.3189
909	-3.2958
910	-3.2728
911	-3.2499
912	-3.2272
913	-3.2047
914	-3.1824
915	-3.1601
916	-3.1381
917	-3.1162
918	-3.0944
919	-3.0728
920	-3.0514
921	-3.0301
922	-3.0090
923	-2.9880
924	-2.9671
925	-2.9464
926	-2.9258
927	-2.9054
928	-2.8851
929	-2.8650
930	-2.8450
931	-2.8251
932	-2.8054
933	-2.7859
934	-2.7664
935	-2.7471
936	-2.7279
937	-2.7089
938	-2.6900
939	-2.6712
940	-2.6526
941	-2.6341
942	-2.6157
943	-2.5974
944	-2.5793
945	-2.5613
946	-2.5434
947	-2.5257
948	-2.5080
949	-2.4905
950	-2.4731
951	-2.4559
952	-2.4387
953	-2.4217
954	-2.4048
955	-2.3880
956	-2.3714
957	-2.3548
958	-2.3384
959	-2.3221
960	-2.3059
961	-2.2898
962	-2.2738
963	-2.2579
964	-2.2422
965	-2.2265
966	-2.2110
967	-2.1955
968	-2.1802
969	-2.1650
970	-2.1499
971	-2.1349
972	-2.1200
973	-2.1052
974	-2.0905
975	-2.0759
976	-2.0614
977	-2.0470
978	-2.0328
979	-2.0186
980	-2.0045
981	-1.9905
982	-1.9766
983	-1.9628
984	-1.9491
985	-1.9355
986	-1.9220
987	-1.9086
988	-1.8953
989	-1.8820
990	-1.8689
991	-1.8559
992	-1.8429
993	-1.8300
994	-1.8173
995	-1.8046
996	-1.7920
997	-1.7795
998	-1.7671
999	-1.7547
